,Age,Job,Marital_Status,Education,Annual_Income,Credit_Score,Account_Balance,Housing_Loan,Personal_Loan,Contacted_Before,Campaign_Count,Months_With_Bank,Subscribed
38,41,Retired,Married,Graduate,1159513,728,73305,No,No,No,2,104,No
39,39,Technician,Married,Graduate,315030,783,190196,No,No,No,5,100,Yes
40,21,Services,Divorced,Graduate,836782,713,104051,No,No,Yes,7,81,Yes
41,27,Unemployed,Married,Graduate,823933,719,71199,No,No,Yes,5,33,Yes
42,34,Retired,Divorced,Not Graduate,391328,591,114648,Yes,No,No,1,29,No
43,43,Self-Employed,Married,Graduate,1103059,694,15973,No,No,No,1,92,No
44,41,Management,Single,Not Graduate,591708,761,66249,No,Yes,No,6,50,Yes
45,43,Entrepreneur,Married,Graduate,273639,773,49276,Yes,No,No,5,67,No
46,43,Retired,Married,Not Graduate,495442,671,15503,Yes,No,No,2,100,Yes
47,59,Unemployed,Married,Graduate,615837,850,0,Yes,No,No,6,81,No
48,61,Admin,Single,Not Graduate,736993,634,193574,Yes,Yes,No,2,60,No
49,44,Technician,Single,Graduate,380510,582,0,No,No,No,4,99,No
50,28,Services,Married,Graduate,290688,760,20090,No,No,No,5,96,No
51,53,Unemployed,Single,Graduate,409157,597,177371,Yes,No,No,4,105,No
52,46,Technician,Married,Graduate,517775,691,0,Yes,Yes,No,5,73,No
53,30,Technician,Single,Graduate,536637,607,0,No,Yes,Yes,6,103,No
54,37,Management,Married,Not Graduate,867411,595,66219,Yes,No,No,4,1,No
55,25,Unemployed,Married,Graduate,680562,753,43677,No,Yes,No,2,182,No
56,36,Services,Married,Graduate,618297,788,74312,No,No,Yes,3,55,No
57,32,Student,Married,Not Graduate,417143,741,105070,No,No,Yes,2,101,Yes
58,48,Technician,Single,Graduate,540935,690,170134,Yes,No,No,4,138,No
59,25,Student,Married,Not Graduate,218943,649,343120,No,No,Yes,3,111,Yes
60,54,Admin,Married,Graduate,1205762,776,278430,Yes,No,Yes,4,70,Yes
61,37,Retired,Single,Graduate,490667,697,155912,No,No,No,2,35,No
62,34,Entrepreneur,Single,Not Graduate,1176689,600,160567,Yes,No,No,1,53,No
63,29,Retired,Single,Graduate,917105,771,0,No,No,Yes,3,12,Yes
64,50,Management,Married,Graduate,448640,768,83471,No,No,No,4,11,No
65,46,Management,Divorced,Graduate,215700,688,0,No,No,No,5,1,No
66,51,Retired,Single,Graduate,213122,742,0,Yes,Yes,No,3,110,No
67,30,Technician,Single,Graduate,664829,794,208308,No,No,No,7,96,Yes
68,49,Admin,Married,Graduate,442844,645,0,Yes,Yes,No,3,131,No
69,33,Services,Single,Graduate,473035,620,172916,No,No,No,5,144,No
70,32,Self-Employed,Single,Graduate,481498,587,14208,Yes,Yes,Yes,2,87,Yes
71,53,Self-Employed,Single,Graduate,553107,702,0,No,Yes,Yes,3,137,Yes
72,30,Management,Married,Graduate,1280079,639,0,Yes,No,No,2,1,No
73,41,Admin,Single,Not Graduate,374664,697,35377,Yes,No,No,3,21,No
74,28,Unemployed,Single,Graduate,850262,587,93299,No,No,Yes,1,150,No
75,59,Self-Employed,Married,Graduate,417811,756,20748,Yes,No,Yes,2,58,Yes
76,53,Retired,Married,Not Graduate,682351,628,140420,No,No,Yes,3,128,No
77,41,Entrepreneur,Divorced,Graduate,786225,774,0,No,No,No,3,56,No
78,46,Admin,Single,Graduate,627063,809,78615,No,No,No,3,98,Yes
79,62,Admin,Married,Graduate,926875,689,119064,Yes,No,Yes,4,78,No
80,51,Technician,Married,Graduate,530179,568,109731,Yes,No,No,4,43,No
81,42,Technician,Married,Not Graduate,323845,709,116925,Yes,No,Yes,4,73,No
82,45,Admin,Married,Graduate,891306,668,122736,No,No,Yes,4,105,Yes
83,25,Unemployed,Single,Not Graduate,480881,709,0,Yes,No,Yes,2,1,Yes
84,31,Entrepreneur,Married,Graduate,989678,689,191516,Yes,No,No,5,67,Yes
85,34,Entrepreneur,Married,Graduate,332149,685,0,Yes,No,No,4,64,No
86,31,Technician,Single,Not Graduate,651964,624,92654,Yes,No,Yes,2,73,No
87,23,Student,Married,Graduate,325880,786,224597,Yes,Yes,No,6,17,Yes
88,48,Management,Married,Not Graduate,583042,719,78227,Yes,Yes,Yes,4,47,No
89,18,Retired,Married,Not Graduate,478927,689,32506,No,No,No,5,28,No
90,52,Unemployed,Married,Not Graduate,424091,704,42498,Yes,No,No,2,58,No
91,55,Admin,Divorced,Graduate,553107,661,85774,No,No,Yes,2,23,No
92,30,Entrepreneur,Married,Not Graduate,314194,740,93667,No,No,No,3,97,No
93,26,Self-Employed,Single,Not Graduate,758596,689,196951,Yes,No,No,2,105,No
94,41,Retired,Married,Not Graduate,743443,650,45769,Yes,No,No,3,131,No
95,38,Retired,Married,Graduate,684386,698,67273,No,No,No,5,73,Yes
96,39,Self-Employed,Married,Graduate,455930,622,196448,No,No,Yes,3,74,No
97,40,Admin,Single,Graduate,467808,823,115993,No,No,Yes,3,66,Yes
98,57,Self-Employed,Divorced,Graduate,1415249,650,309615,No,Yes,Yes,2,107,Yes
99,25,Services,Married,Graduate,671838,691,380719,No,No,No,2,71,No
100,37,Student,Married,Graduate,553107,705,110446,Yes,No,Yes,3,10,Yes
101,62,Self-Employed,Single,Graduate,887262,734,62533,Yes,No,Yes,7,1,Yes
102,44,Retired,Married,Graduate,262727,725,203813,Yes,No,Yes,3,14,Yes
103,31,Self-Employed,Single,Graduate,855124,649,92202,Yes,Yes,No,2,69,No
104,23,Admin,Married,Graduate,749332,620,0,No,Yes,Yes,7,167,No
105,28,Services,Divorced,Graduate,554143,751,76750,No,No,Yes,1,21,No
106,40,Unemployed,Single,Graduate,357833,684,115500,No,No,Yes,3,25,No
107,57,Student,Married,Graduate,420003,682,0,No,No,No,2,80,Yes
108,31,Admin,Married,Not Graduate,1059943,553,100179,Yes,No,Yes,6,96,No
109,31,Admin,Single,Graduate,324227,781,35778,No,No,Yes,6,73,No
110,45,Admin,Single,Not Graduate,388141,625,0,No,No,No,3,92,Yes
111,58,Admin,Married,Not Graduate,1775913,736,101829,No,No,Yes,2,88,Yes
112,52,Unemployed,Married,Not Graduate,612630,674,5356,Yes,No,No,5,71,No
113,54,Technician,Married,Graduate,640094,661,7287,Yes,Yes,Yes,5,57,No
114,39,Entrepreneur,Married,Not Graduate,258223,689,113190,Yes,No,No,2,144,Yes
115,47,Entrepreneur,Single,Graduate,458851,756,55055,Yes,No,No,4,75,No
116,41,Self-Employed,Married,Graduate,294951,599,24922,Yes,Yes,No,4,115,No
117,49,Unemployed,Divorced,Graduate,463806,786,163274,No,No,Yes,6,89,Yes
118,40,Services,Divorced,Not Graduate,275949,536,0,No,No,No,7,49,No
119,51,Self-Employed,Married,Not Graduate,520949,634,216422,No,No,Yes,1,102,Yes
120,40,Admin,Married,Graduate,241617,776,246685,No,Yes,No,2,158,Yes
121,52,Self-Employed,Divorced,Graduate,977826,679,120511,Yes,Yes,No,3,152,Yes
122,27,Self-Employed,Married,Graduate,931665,621,82161,No,No,No,6,100,No
123,26,Unemployed,Married,Not Graduate,1116307,658,146873,Yes,No,No,4,53,Yes
124,58,Student,Married,Graduate,475418,653,18570,Yes,No,No,4,108,No
125,43,Services,Married,Graduate,830916,658,202308,Yes,No,Yes,3,87,No
126,42,Self-Employed,Divorced,Not Graduate,660696,695,72719,No,No,Yes,6,130,Yes
127,41,Unemployed,Single,Not Graduate,490372,639,105719,No,No,Yes,1,70,Yes
128,43,Services,Married,Graduate,607120,671,22037,No,Yes,No,2,108,Yes
129,44,Self-Employed,Married,Graduate,713486,666,0,Yes,No,Yes,5,73,No
130,53,Services,Married,Not Graduate,612122,585,0,No,No,No,3,73,No
131,72,Self-Employed,Married,Not Graduate,531683,780,128950,Yes,Yes,Yes,2,45,No
132,48,Admin,Married,Graduate,659383,706,114999,Yes,No,No,7,85,No
133,28,Retired,Married,Graduate,571158,662,76704,No,No,No,2,191,No
134,48,Admin,Married,Graduate,476320,729,0,Yes,Yes,No,2,151,No
135,26,Admin,Married,Graduate,772327,742,0,Yes,No,Yes,4,15,Yes
136,19,Management,Married,Graduate,545021,735,2600,Yes,No,No,4,171,No
137,43,Unemployed,Married,Graduate,1627804,681,240653,No,No,No,4,38,No
138,32,Services,Married,Graduate,1160036,692,8972,Yes,No,Yes,3,143,Yes
139,31,Services,Married,Graduate,716941,681,183291,Yes,Yes,Yes,3,16,Yes
140,28,Entrepreneur,Married,Graduate,1141511,592,182518,No,No,Yes,2,88,No
141,33,Retired,Married,Graduate,298286,814,140116,No,No,No,4,92,Yes
142,18,Entrepreneur,Married,Graduate,494245,613,112597,Yes,No,No,5,27,No
143,31,Retired,Single,Graduate,553107,776,62879,Yes,No,No,5,73,Yes
144,57,Unemployed,Single,Graduate,1011678,760,56250,No,No,No,1,72,No
145,28,Self-Employed,Single,Graduate,769836,702,18548,No,No,No,2,78,No
146,29,Retired,Single,Not Graduate,722327,666,78616,Yes,No,No,6,12,Yes
147,34,Retired,Single,Graduate,141999,676,74616,Yes,Yes,No,3,52,No
148,74,Management,Married,Not Graduate,474000,572,273026,No,Yes,No,4,154,No
149,18,Services,Single,Not Graduate,1231401,818,187717,Yes,Yes,No,4,224,Yes
150,27,Services,Married,Graduate,454543,672,88193,No,No,No,4,78,Yes
151,35,Management,Married,Graduate,435392,751,105828,Yes,No,No,3,69,No
152,18,Technician,Single,Graduate,856107,689,179030,Yes,No,Yes,2,115,Yes
153,45,Entrepreneur,Single,Graduate,540779,693,73080,Yes,No,Yes,2,95,Yes
154,41,Admin,Married,Not Graduate,543177,736,115734,Yes,No,No,3,106,No
155,26,Self-Employed,Married,Graduate,400072,613,0,No,No,No,2,1,No
156,55,Student,Married,Graduate,318226,719,215495,Yes,Yes,No,3,1,Yes
157,47,Student,Single,Not Graduate,449387,679,244260,Yes,Yes,No,7,42,Yes
158,32,Technician,Married,Graduate,636747,819,131565,No,No,Yes,1,86,Yes
159,48,Technician,Married,Not Graduate,903533,646,181211,Yes,No,No,4,28,No
160,26,Management,Married,Graduate,558134,630,144567,No,No,Yes,5,52,Yes
161,36,Retired,Divorced,Graduate,329740,689,119450,Yes,No,Yes,3,98,Yes
162,37,Student,Married,Graduate,1272022,571,143724,Yes,Yes,No,7,87,No
163,34,Student,Single,Graduate,137141,686,14144,Yes,No,No,3,88,No
164,36,Entrepreneur,Married,Graduate,1103896,697,144005,No,No,No,3,3,No
165,51,Entrepreneur,Married,Graduate,183635,713,0,No,No,No,4,111,Yes
166,28,Retired,Married,Graduate,514988,724,329007,Yes,No,No,2,79,Yes
167,46,Services,Married,Graduate,998338,752,0,Yes,No,Yes,1,1,Yes
168,29,Admin,Single,Not Graduate,1423230,689,28323,Yes,No,No,1,113,No
169,48,Management,Single,Not Graduate,393977,647,24559,No,No,Yes,3,83,No
170,50,Unemployed,Single,Graduate,1275204,668,243908,Yes,No,No,1,75,Yes
171,45,Technician,Married,Graduate,800014,752,72318,Yes,No,No,5,1,Yes
172,43,Retired,Single,Graduate,344490,699,0,Yes,No,Yes,3,119,Yes
173,47,Technician,Married,Graduate,1161643,664,192503,Yes,No,No,4,160,Yes
174,40,Unemployed,Married,Graduate,599709,699,201111,No,No,No,5,80,Yes
175,45,Admin,Married,Graduate,1094452,666,90739,No,Yes,Yes,2,100,No
176,42,Retired,Married,Graduate,1107366,669,0,Yes,No,Yes,2,75,Yes
177,61,Entrepreneur,Married,Not Graduate,444679,760,65717,Yes,No,No,2,90,No
178,37,Technician,Single,Not Graduate,398336,671,102549,No,No,Yes,1,85,Yes
179,28,Services,Married,Graduate,816381,614,0,No,No,No,2,64,No
180,30,Retired,Single,Graduate,2175529,584,83706,Yes,No,No,2,83,Yes
181,35,Self-Employed,Married,Not Graduate,373844,812,130290,No,No,No,1,109,No
182,51,Self-Employed,Married,Not Graduate,600092,727,0,No,No,No,4,91,No
183,51,Unemployed,Divorced,Graduate,473229,816,110483,No,No,No,2,77,Yes
184,42,Admin,Married,Graduate,210781,752,204698,Yes,Yes,No,7,83,No
185,33,Entrepreneur,Single,Graduate,798212,643,83471,No,No,No,1,149,Yes
186,29,Retired,Single,Graduate,806368,729,49940,No,No,No,1,103,No
187,27,Services,Married,Graduate,1072349,655,134669,Yes,Yes,No,5,192,No
188,39,Student,Married,Graduate,1179418,635,101352,No,No,No,3,78,No
189,26,Admin,Married,Graduate,226039,689,20889,Yes,No,Yes,2,76,Yes
190,33,Services,Married,Graduate,615422,645,221472,No,No,No,3,20,No
191,66,Technician,Married,Not Graduate,889385,820,92659,Yes,Yes,No,2,48,No
192,66,Management,Single,Graduate,285503,743,0,Yes,No,No,5,118,No
193,46,Management,Married,Graduate,476302,590,98255,No,No,No,3,89,No
194,52,Retired,Married,Graduate,740912,665,64668,Yes,No,No,4,1,No
195,24,Technician,Divorced,Graduate,600604,661,312978,No,No,No,5,57,Yes
196,51,Admin,Married,Graduate,480856,802,0,No,No,No,1,24,No
197,38,Retired,Married,Graduate,220603,662,79805,No,No,No,4,85,No
198,18,Management,Married,Graduate,906054,735,1966,Yes,Yes,Yes,4,47,No
199,34,Management,Single,Not Graduate,850302,779,21885,No,No,No,1,74,No
200,40,Entrepreneur,Married,Graduate,420656,647,234695,No,No,Yes,1,78,No
201,33,Unemployed,Single,Graduate,256747,770,94458,Yes,No,No,3,129,Yes
202,39,Technician,Single,Graduate,538960,730,248118,Yes,No,No,3,21,Yes
203,38,Services,Married,Not Graduate,533844,710,243774,Yes,No,Yes,7,40,No
204,25,Technician,Married,Graduate,286702,467,83471,No,No,No,4,97,No
205,33,Technician,Married,Graduate,553107,673,82474,No,Yes,Yes,3,128,Yes
206,38,Student,Married,Graduate,1073878,767,104027,Yes,No,Yes,1,128,No
207,33,Admin,Single,Graduate,644864,749,113172,No,No,No,4,55,Yes
208,18,Student,Married,Graduate,329177,582,174284,No,No,No,3,16,No
209,22,Entrepreneur,Single,Graduate,374031,658,246247,No,Yes,No,8,55,No
210,18,Management,Divorced,Not Graduate,763831,771,83471,No,No,No,5,18,No
211,42,Self-Employed,Married,Graduate,402655,674,42826,No,No,No,3,114,No
212,33,Retired,Married,Graduate,213821,814,47330,No,No,No,2,80,Yes
213,39,Entrepreneur,Single,Not Graduate,1477410,671,157431,No,No,No,5,15,Yes
214,29,Student,Single,Graduate,1732569,700,187549,No,No,Yes,1,32,No
215,48,Student,Married,Graduate,439158,618,85231,No,No,Yes,4,109,No
216,30,Technician,Married,Graduate,1167616,719,30956,No,No,No,1,12,No
217,20,Management,Single,Not Graduate,819781,714,169784,No,No,No,3,50,No
218,45,Management,Single,Graduate,651892,706,82813,No,No,Yes,3,1,Yes
219,30,Technician,Married,Graduate,500143,673,279471,No,No,No,3,20,No
220,56,Unemployed,Single,Graduate,373488,661,163083,No,No,Yes,3,8,Yes
221,39,Technician,Married,Graduate,456774,511,0,Yes,No,Yes,5,141,No
222,39,Self-Employed,Married,Graduate,534535,743,237046,No,No,No,2,98,Yes
223,32,Technician,Married,Graduate,338807,709,262682,Yes,No,Yes,6,48,Yes
224,51,Entrepreneur,Married,Graduate,747465,712,29170,Yes,No,No,7,69,Yes
225,38,Admin,Married,Not Graduate,638909,668,191651,Yes,No,No,3,20,No
226,52,Retired,Divorced,Not Graduate,381589,648,46717,No,Yes,Yes,3,49,No
227,35,Self-Employed,Single,Not Graduate,822648,822,0,No,No,Yes,3,162,Yes
228,28,Entrepreneur,Single,Not Graduate,625678,681,140255,No,Yes,No,2,159,No
229,44,Unemployed,Married,Graduate,414828,695,37588,No,No,No,1,58,No
230,36,Admin,Single,Not Graduate,701031,745,0,Yes,No,No,2,25,No
231,25,Retired,Married,Not Graduate,750612,514,9990,Yes,No,No,6,51,No
232,37,Unemployed,Divorced,Not Graduate,1052403,720,46412,No,No,No,2,39,No
233,43,Entrepreneur,Married,Graduate,1808681,822,27010,No,No,No,3,5,No
234,21,Unemployed,Single,Graduate,581718,770,0,No,No,No,2,1,Yes
235,30,Retired,Single,Not Graduate,350110,622,84100,Yes,Yes,No,4,122,Yes
236,42,Unemployed,Divorced,Graduate,383158,792,166643,Yes,No,No,2,1,Yes
237,25,Management,Divorced,Not Graduate,553107,755,114522,No,No,No,4,3,Yes
238,37,Admin,Single,Graduate,528279,689,8851,Yes,Yes,No,2,49,No
239,39,Admin,Married,Graduate,781863,659,146010,Yes,No,No,1,83,Yes
240,44,Retired,Married,Not Graduate,553107,729,131702,No,No,No,2,39,No
241,43,Services,Married,Graduate,299891,775,274375,No,No,No,3,57,No
242,39,Retired,Married,Graduate,553107,668,180964,Yes,No,Yes,2,69,No
243,51,Self-Employed,Married,Graduate,1042735,689,26470,No,Yes,No,2,41,Yes
244,28,Technician,Married,Not Graduate,653872,613,84246,Yes,No,No,6,47,No
245,25,Unemployed,Single,Graduate,884220,624,62344,Yes,No,No,3,126,No
246,52,Self-Employed,Single,Graduate,506970,733,235018,No,No,No,5,161,Yes
247,55,Admin,Married,Graduate,1011499,629,169394,No,No,No,2,96,Yes
248,55,Student,Married,Graduate,571360,632,101590,Yes,No,Yes,2,23,Yes
249,43,Retired,Divorced,Graduate,349944,645,122720,No,No,No,1,84,Yes
250,57,Entrepreneur,Married,Graduate,661670,726,92029,Yes,Yes,No,5,-5,Yes
251,39,Retired,Married,Not Graduate,461295,670,0,Yes,No,No,4,73,No
252,54,Services,Married,Graduate,772019,738,0,Yes,No,No,3,59,No
253,41,Self-Employed,Single,Graduate,553107,719,0,No,No,No,4,113,No
254,18,Technician,Married,Not Graduate,902470,561,0,Yes,No,No,1,124,No
255,50,Entrepreneur,Single,Graduate,341637,643,209789,No,No,Yes,2,1,Yes
256,52,Retired,Married,Not Graduate,347125,613,0,Yes,No,No,2,1,No
257,36,Entrepreneur,Married,Graduate,556817,793,166844,No,No,No,5,91,Yes
258,48,Technician,Married,Graduate,324294,734,104380,No,Yes,No,4,58,No
259,37,Entrepreneur,Divorced,Not Graduate,537197,736,29743,Yes,No,No,2,75,No
260,44,Retired,Married,Graduate,418681,753,134618,Yes,No,Yes,3,1,No
261,54,Self-Employed,Single,Graduate,458611,632,79056,Yes,No,No,4,67,Yes
262,34,Technician,Divorced,Graduate,359551,639,205255,Yes,No,No,1,163,Yes
263,55,Entrepreneur,Married,Not Graduate,750174,624,57923,No,No,Yes,3,117,No
264,27,Retired,Married,Not Graduate,345625,800,27976,Yes,Yes,No,2,1,Yes
265,45,Unemployed,Single,Graduate,475967,738,178834,No,Yes,No,7,93,No
266,29,Technician,Single,Not Graduate,316904,770,83471,No,No,No,2,173,Yes
267,45,Management,Married,Not Graduate,438506,714,30848,Yes,No,Yes,3,50,No
268,47,Student,Married,Not Graduate,748044,689,0,Yes,No,No,6,102,Yes
269,49,Self-Employed,Married,Not Graduate,484783,757,209599,No,No,No,1,102,Yes
270,49,Self-Employed,Married,Graduate,356106,721,24812,Yes,Yes,Yes,4,78,Yes
271,28,Admin,Married,Graduate,876394,597,44717,Yes,No,No,4,1,No
272,41,Technician,Married,Not Graduate,356320,692,11107,Yes,Yes,No,2,1,No
273,29,Management,Married,Graduate,336682,741,251918,No,No,Yes,2,73,No
274,40,Entrepreneur,Single,Graduate,209726,710,159008,Yes,No,No,3,51,No
275,29,Entrepreneur,Married,Graduate,555999,649,99339,Yes,No,No,4,1,No
276,34,Entrepreneur,Single,Graduate,246118,752,201871,No,No,Yes,1,148,Yes
277,63,Retired,Single,Not Graduate,317919,661,0,Yes,No,No,2,46,No
278,18,Unemployed,Single,Not Graduate,1134701,633,71475,Yes,No,No,6,63,No
279,35,Services,Single,Graduate,285072,754,112284,Yes,No,No,4,51,No
280,46,Retired,Married,Not Graduate,1300472,740,169897,No,Yes,No,2,87,Yes
281,31,Management,Single,Graduate,739379,800,0,Yes,No,Yes,5,139,Yes
282,36,Retired,Divorced,Graduate,403388,721,83471,Yes,No,Yes,5,73,Yes
283,35,Management,Single,Graduate,340956,645,50974,Yes,No,Yes,2,127,No
284,57,Self-Employed,Divorced,Graduate,652350,724,38052,Yes,No,No,6,111,No
285,29,Management,Single,Graduate,498057,675,13852,No,No,No,4,27,No
286,50,Self-Employed,Married,Graduate,263109,623,86729,No,No,Yes,4,53,No
287,41,Services,Married,Graduate,472534,669,0,No,No,Yes,3,179,Yes
288,40,Admin,Single,Graduate,335326,654,0,No,No,No,4,141,No
289,41,Admin,Married,Graduate,516772,787,91352,Yes,No,No,3,1,Yes
290,35,Technician,Married,Not Graduate,627061,649,139191,No,No,No,6,1,No
291,40,Retired,Single,Graduate,709662,772,88479,Yes,No,No,7,132,Yes
292,50,Services,Single,Not Graduate,546832,593,0,No,No,No,1,62,No
293,29,Self-Employed,Divorced,Graduate,179289,662,124906,No,No,No,7,73,No
294,31,Technician,Married,Graduate,504166,736,23234,No,No,Yes,6,52,No
295,42,Admin,Married,Graduate,393975,705,137318,No,No,No,4,85,No
296,29,Retired,Married,Not Graduate,610039,773,110080,Yes,No,No,2,1,Yes
297,45,Student,Single,Not Graduate,1182441,717,60747,No,No,No,6,56,No
298,56,Unemployed,Married,Graduate,1410368,603,7834,Yes,Yes,No,2,85,No
299,46,Unemployed,Married,Graduate,449444,636,0,No,No,No,2,79,No
300,43,Admin,Divorced,Graduate,1154885,720,282004,Yes,Yes,Yes,2,41,Yes
301,18,Technician,Married,Not Graduate,480326,709,63051,Yes,Yes,No,4,134,No
302,43,Self-Employed,Divorced,Not Graduate,230235,679,56819,Yes,No,No,3,68,No
303,29,Management,Married,Graduate,901652,805,28316,No,Yes,No,3,147,Yes
304,48,Management,Married,Graduate,2114460,747,95876,No,No,No,3,76,Yes
305,33,Entrepreneur,Married,Not Graduate,1308493,656,182301,No,No,No,2,61,No
306,18,Unemployed,Married,Graduate,1481449,823,83471,No,No,Yes,6,77,Yes
307,52,Management,Married,Graduate,790529,724,162162,No,No,Yes,2,44,No
308,51,Self-Employed,Single,Not Graduate,870001,701,0,No,No,No,2,128,No
309,40,Student,Divorced,Graduate,359055,607,0,Yes,No,No,3,126,No
310,46,Entrepreneur,Married,Not Graduate,937959,689,215739,Yes,No,No,4,135,Yes
311,41,Technician,Married,Not Graduate,459686,756,93848,Yes,No,No,3,61,Yes
312,46,Entrepreneur,Divorced,Not Graduate,1405700,587,205865,No,Yes,No,3,21,No
313,33,Self-Employed,Married,Graduate,1047857,646,84204,No,Yes,Yes,3,188,Yes
314,31,Entrepreneur,Married,Graduate,286452,663,64016,No,No,No,4,126,No
315,59,Student,Married,Graduate,198954,673,20053,Yes,Yes,Yes,2,108,No
316,18,Technician,Married,Graduate,713305,658,160181,Yes,No,No,2,151,No
317,41,Retired,Divorced,Not Graduate,378095,701,111226,Yes,No,Yes,4,108,No
318,51,Services,Single,Graduate,530898,711,0,No,No,No,3,83,No
319,40,Student,Divorced,Not Graduate,1078148,676,0,Yes,No,No,5,66,No
320,36,Unemployed,Married,Graduate,606887,748,122800,No,Yes,No,1,74,Yes
321,56,Admin,Single,Graduate,754341,685,64729,Yes,No,No,3,43,No
322,49,Self-Employed,Single,Graduate,435814,675,129769,Yes,No,No,2,54,No
323,45,Entrepreneur,Single,Graduate,509229,684,127160,No,No,No,5,158,No
324,44,Technician,Married,Graduate,545426,648,104228,Yes,No,No,3,146,No
325,39,Admin,Married,Graduate,884428,728,187512,No,No,Yes,2,63,No
326,49,Services,Single,Not Graduate,801694,690,86422,Yes,No,Yes,2,112,Yes
327,48,Admin,Married,Graduate,454581,492,112363,Yes,No,Yes,1,57,No
328,34,Self-Employed,Divorced,Graduate,154518,710,170773,No,No,No,5,172,Yes
329,41,Services,Married,Graduate,348952,717,69343,No,No,No,4,58,Yes
330,20,Retired,Single,Graduate,491254,691,57390,Yes,No,No,3,2,Yes
331,44,Management,Married,Graduate,340409,684,165019,No,Yes,No,5,77,Yes
332,21,Services,Divorced,Graduate,722332,524,182828,No,No,No,1,17,No
333,30,Services,Married,Graduate,382838,709,149078,No,No,No,4,1,No
334,38,Student,Single,Not Graduate,333752,684,70837,No,No,No,5,123,No
335,64,Self-Employed,Married,Not Graduate,1575674,735,99987,No,No,No,3,55,No
336,29,Services,Single,Not Graduate,559742,650,72227,No,Yes,Yes,1,63,No
337,46,Services,Single,Graduate,444874,651,79020,Yes,No,Yes,3,192,No
338,41,Entrepreneur,Married,Graduate,292778,658,104413,Yes,Yes,No,5,68,No
339,38,Unemployed,Married,Not Graduate,705864,689,139473,Yes,No,No,1,84,No
340,37,Unemployed,Married,Not Graduate,916744,716,85159,Yes,No,Yes,3,19,No
341,34,Entrepreneur,Married,Not Graduate,598546,745,83471,Yes,No,No,1,95,Yes
